-5	-5	2832.1	416.351
-5	-5	2830.73	416.351
-5	-5	2829.36	438.174
-5	-5	2827.99	408.879
-5	-5	2826.62	437.994
-5	-5	2825.25	416.009
-5	-5	2823.88	443.287
-5	-5	2822.51	461.434
-5	-5	2821.14	404.812
-5	-5	2819.76	432.075
-5	-5	2818.39	426.518
-5	-5	2817.02	417.319
-5	-5	2815.65	451.85
-5	-5	2814.28	469.974
-5	-5	2812.9	433.452
-5	-5	2811.53	457.034
-5	-5	2810.16	424.172
-5	-5	2808.78	442.285
-5	-5	2807.41	403.98
-5	-5	2806.04	438.465
-5	-5	2804.66	465.659
-5	-5	2803.29	440.103
-5	-5	2801.91	445.467
-5	-5	2800.54	461.736
-5	-5	2799.16	441.649
-5	-5	2797.78	443.375
-5	-5	2796.41	419.666
-5	-5	2795.03	475.887
-5	-5	2793.66	484.869
-5	-5	2792.28	441.194
-5	-5	2790.9	577.246
-5	-5	2789.52	489.711
-5	-5	2788.15	489.711
-5	-5	2786.77	489.711
-5	-5	2785.39	489.711
-5	-5	2784.01	476.917
-5	-5	2782.63	445.997
-5	-5	2781.25	445.906
-5	-5	2779.87	431.316
-5	-5	2778.49	440.286
-5	-5	2777.11	467.368
-5	-5	2775.73	474.516
-5	-5	2774.35	467.175
-5	-5	2772.97	445.354
-5	-5	2771.59	457.932
-5	-5	2770.21	499.46
-5	-5	2768.83	455.934
-5	-5	2767.45	464.885
-5	-5	2766.06	477.448
-5	-5	2764.68	452.036
-5	-5	2763.3	453.75
-5	-5	2761.91	477.153
-5	-5	2760.53	502.353
-5	-5	2759.15	491.409
-5	-5	2757.76	491.308
-5	-5	2756.38	491.206
-5	-5	2754.99	498.327
-5	-5	2753.61	503.64
-5	-5	2752.22	510.755
-5	-5	2750.84	534.107
-5	-5	2749.45	501.524
-5	-5	2748.07	542.904
-5	-5	2746.68	522.956
-5	-5	2745.29	479.578
-5	-5	2743.91	477.676
-5	-5	2742.52	479.38
-5	-5	2741.13	509.911
-5	-5	2739.74	493.593
-5	-5	2738.36	534.915
-5	-5	2736.97	516.798
-5	-5	2735.58	518.491
-5	-5	2734.19	523.784
-5	-5	2732.8	512.878
-5	-5	2731.41	521.768
-5	-5	2730.02	554.039
-5	-5	2728.63	528.746
-5	-5	2727.24	514.252
-5	-5	2725.85	528.528
-5	-5	2724.46	548.189
-5	-5	2723.07	524.715
